budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY14-15,Expense,Administrative,10101,Management Consultant,,200210
FY14-15,Expense,Administrative,10101,Facilities Maint & Security,,3577400
FY14-15,Expense,Administrative,10101,Facilities Maint & Security,,381500
FY14-15,Expense,Administrative,10101,MDHA Property Tax Increments,,6939188
FY14-15,Expense,Administrative,10101,Cashier Shortages,,1983
FY14-15,Expense,Administrative,10101,Discounts Available,,-4056
FY14-15,Expense,Administrative,10101,Discounts Lost,,3807
FY14-15,Expense,Administrative,10101,Transfer 4%,,26782337
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,15000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,178600
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,300000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,12500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,40000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,278500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,172500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,43500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,150000
FY14-15,Expense,Administrative,10101,Electric,,0
FY14-15,Expense,Administrative,10101,Water,,0
FY14-15,Expense,Administrative,10101,Gas,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,108590
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Transfer Operational,,0
FY14-15,Expense,Administrative,10101,Transfer HOT Short-term Rental,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,99996
FY14-15,Expense,Administrative,10101,Management Consultant,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,4500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,98400
FY14-15,Expense,Administrative,10101,Transfer Community Ed,,346500
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,43200
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,58594
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,50100
FY14-15,Expense,Administrative,10101,Medical Services,,11605307
FY14-15,Expense,Administrative,10101,Medical Services,,4458338
FY14-15,Expense,Administrative,10101,Rent Building & Land,,69252
FY14-15,Expense,Administrative,10101,Rent Equipment,,60000
FY14-15,Expense,Administrative,10101,Regular Pay,,74475
FY14-15,Expense,Administrative,10101,Pay Plan Improvement,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,253
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,4305
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,1007
FY14-15,Expense,Administrative,10101,Employer Group Health,,13428
FY14-15,Expense,Administrative,10101,Employer Dental Group,,339
FY14-15,Expense,Administrative,10101,Employer Group Life,,152
FY14-15,Expense,Administrative,10101,Employer Pension,,12714
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,386
FY14-15,Expense,Administrative,10101,Personal Contract Service,,1021084
FY14-15,Expense,Administrative,10101,Employee Out-of-town Travel,,1362
FY14-15,Expense,Administrative,10101,Printing/Binding,,30
FY14-15,Expense,Administrative,10101,Advertising & Promot'n,,0
FY14-15,Expense,Administrative,10101,Offc & Admin Supply,,-3
FY14-15,Expense,Administrative,10101,Software License,,746
FY14-15,Expense,Administrative,10101,Regular Pay,,87315
FY14-15,Expense,Administrative,10101,Pay Plan Improvement,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,452
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,5294
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,1238
FY14-15,Expense,Administrative,10101,Employer Group Health,,5652
FY14-15,Expense,Administrative,10101,Employer Dental Group,,339
FY14-15,Expense,Administrative,10101,Employer Group Life,,152
FY14-15,Expense,Administrative,10101,Employer Pension,,14907
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,144
FY14-15,Expense,Administrative,10101,Personal Contract Service,,0
FY14-15,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY14-15,Expense,Administrative,10101,Allowance-Cell/Mobile Devices,,0
FY14-15,Expense,Administrative,10101,Printing/Binding,,6574
FY14-15,Expense,Administrative,10101,Registration,,415
FY14-15,Expense,Administrative,10101,Offc & Admin Supply,,403
FY14-15,Expense,Administrative,10101,Rent Equipment,,282
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,66600
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,54900
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,89400
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,51800
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,66000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,20200
FY14-15,Expense,Administrative,10101,Regular Pay,,177730
FY14-15,Expense,Administrative,10101,Leave Pay,,0
FY14-15,Expense,Administrative,10101,Pay Plan Improvement,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,819
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,10209
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,2388
FY14-15,Expense,Administrative,10101,Employer Group Health,,21938
FY14-15,Expense,Administrative,10101,Employer Dental Group,,551
FY14-15,Expense,Administrative,10101,Employer Group Life,,304
FY14-15,Expense,Administrative,10101,Employer Pension,,25155
FY14-15,Expense,Administrative,10101,FSA Pre-Tax Savings,,364
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,616
FY14-15,Expense,Administrative,10101,Personal Contract Service,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Regular Pay,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,0
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,0
FY14-15,Expense,Administrative,10101,Employer Group Health,,0
FY14-15,Expense,Administrative,10101,Employer Dental Group,,0
FY14-15,Expense,Administrative,10101,Employer Group Life,,0
FY14-15,Expense,Administrative,10101,Employer Pension,,0
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,566839
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,50000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,118000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,65800
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,78709
FY14-15,Expense,Administrative,10101,Regular Pay,,91000
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,5625
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,1316
FY14-15,Expense,Administrative,10101,Employer Group Health,,811
FY14-15,Expense,Administrative,10101,Project Administration,,7000
FY14-15,Expense,Administrative,10101,Transport Non-employee,,17785
FY14-15,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY14-15,Expense,Administrative,10101,Printing/Binding,,2565
FY14-15,Expense,Administrative,10101,Host & Hostess,,0
FY14-15,Expense,Administrative,10101,Offc & Admin Supply,,0
FY14-15,Expense,Administrative,10101,Food & Ice,,2846
FY14-15,Expense,Administrative,10101,Educational Supply,,7984
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY14-15,Expense,Administrative,10101,Transfer State Fair Subsidy,,200000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,28049
FY14-15,Expense,Administrative,10101,Regular Pay,,190845
FY14-15,Expense,Administrative,10101,Longevity,,0
FY14-15,Expense,Administrative,10101,Pay Plan Improvement,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,982
FY14-15,Expense,Administrative,10101,Fringe Benefits,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,11827
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,2766
FY14-15,Expense,Administrative,10101,Employer Dental Group,,594
FY14-15,Expense,Administrative,10101,Employer Group Life,,260
FY14-15,Expense,Administrative,10101,Employer Pension,,15957
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY14-15,Expense,Administrative,10101,Other Professional Srvc,,1198
FY14-15,Expense,Administrative,10101,Personal Contract Service,,0
FY14-15,Expense,Administrative,10101,Employee Travel,,0
FY14-15,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY14-15,Expense,Administrative,10101,Employee Air Travel,,0
FY14-15,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY14-15,Expense,Administrative,10101,Registration,,0
FY14-15,Expense,Administrative,10101,Membership Dues,,0
FY14-15,Expense,Administrative,10101,Host & Hostess,,0
FY14-15,Expense,Administrative,10101,Computer Hardware <$10K,,0
FY14-15,Expense,Administrative,10101,Food & Ice,,0
FY14-15,Expense,Administrative,10101,Books/Magazines/Periodicals,,0
FY14-15,Expense,Administrative,10101,Personal Contract Service,,100000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,26800
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,30000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,55000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,120000
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,34400
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,34879
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Excise Tax Self-Ins Health Pln,,0
FY14-15,Expense,Administrative,10101,Regular Pay,,0
FY14-15,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY14-15,Expense,Administrative,10101,Employer OASDI,,0
FY14-15,Expense,Administrative,10101,Employer SSN Medical,,0
FY14-15,Expense,Administrative,10101,Employer Group Health,,0
FY14-15,Expense,Administrative,10101,Employer Dental Group,,0
FY14-15,Expense,Administrative,10101,Employer Group Life,,0
FY14-15,Expense,Administrative,10101,Employer Pension,,0
FY14-15,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY14-15,Expense,Administrative,10101,Cable Television,,0
FY14-15,Expense,Administrative,10101,Management Consultant,,0
FY14-15,Expense,Administrative,10101,Pre-Employment Checks,,0
FY14-15,Expense,Administrative,10101,Interpretation Services,,0
FY14-15,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY14-15,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY14-15,Expense,Administrative,10101,Printing/Binding,,0
FY14-15,Expense,Administrative,10101,Advertising & Promot'n,,0
FY14-15,Expense,Administrative,10101,Membership Dues,,0
FY14-15,Expense,Administrative,10101,Telecmmnct'n Charge,,0
FY14-15,Expense,Administrative,10101,Host & Hostess,,0
FY14-15,Expense,Administrative,10101,Offc & Admin Supply,,0
FY14-15,Expense,Administrative,10101,Rent Equipment,,0
FY14-15,Expense,Administrative,10101,Software License,,0
FY14-15,Expense,Administrative,10101,Notary,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Transfer Local Match,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,SPA,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY14-15,Expense,Administrative,10101,Transfer 4%,,0
FY14-15,Expense,Administrative,10101,Transfer HOT Short-term Rental,,0
FY14-15,Expense,Administrative,10101,MDHA Property Tax Increments,,0
FY14-15,Expense,Administrative,10101,Facilities Maint & Security,,290800
FY14-15,Expense,Administrative,10101,Transfer Debt Service,,0
FY14-15,Expense,Administrative,10101,Transfer Operational,,0
FY14-15,Expense,Metropolitan Council,10101,Regular Pay,,1084960
FY14-15,Expense,Metropolitan Council,10101,Longevity,,5995
FY14-15,Expense,Metropolitan Council,10101,YE Biweekly Sal/Fringe Accr,,6308
FY14-15,Expense,Metropolitan Council,10101,Employer OASDI,,60679
FY14-15,Expense,Metropolitan Council,10101,Employer SSN Medical,,14220
FY14-15,Expense,Metropolitan Council,10101,Employer Group Health,,342558
FY14-15,Expense,Metropolitan Council,10101,Employer Dental Group,,11043
FY14-15,Expense,Metropolitan Council,10101,Employer Group Life,,859
FY14-15,Expense,Metropolitan Council,10101,Employer Pension,,72321
FY14-15,Expense,Metropolitan Council,10101,FSA Pre-Tax Savings,,0
FY14-15,Expense,Metropolitan Council,10101,Cafe Plan Pre-Tax Savings,,8320
FY14-15,Expense,Metropolitan Council,10101,Cable Television,,0
FY14-15,Expense,Metropolitan Council,10101,Other Professional Srvc,,0
FY14-15,Expense,Metropolitan Council,10101,Engineering Srvc,,0
FY14-15,Expense,Metropolitan Council,10101,Devlop/Framing/Artwork,,0
FY14-15,Expense,Metropolitan Council,10101,Employee Out-of-town Travel,,165
FY14-15,Expense,Metropolitan Council,10101,Employee Air Travel,,-356
FY14-15,Expense,Metropolitan Council,10101,Employee Local Travel/Park,,0
FY14-15,Expense,Metropolitan Council,10101,Allowance-Cell/Mobile Devices,,0
FY14-15,Expense,Metropolitan Council,10101,Cell Phone Service,,2465
FY14-15,Expense,Metropolitan Council,10101,Postage & Delivery Srvc,,1900
FY14-15,Expense,Metropolitan Council,10101,Printing/Binding,,2577
FY14-15,Expense,Metropolitan Council,10101,Subscriptions,,149
FY14-15,Expense,Metropolitan Council,10101,Tuition,,104
FY14-15,Expense,Metropolitan Council,10101,Registration,,-335
FY14-15,Expense,Metropolitan Council,10101,Membership Dues,,345
FY14-15,Expense,Metropolitan Council,10101,Employee Tuition Reimburse,,0
FY14-15,Expense,Metropolitan Council,10101,Other Rpr & Maint Srvc,,713
FY14-15,Expense,Metropolitan Council,10101,Info Systems Charge,,52200
FY14-15,Expense,Metropolitan Council,10101,Postal Service Charge,,8100
FY14-15,Expense,Metropolitan Council,10101,Telecmmnct'n Charge,,5896
FY14-15,Expense,Metropolitan Council,10101,Surplus Property,,0
FY14-15,Expense,Metropolitan Council,10101,Facilities Maint & Security,,91000
FY14-15,Expense,Metropolitan Council,10101,Host & Hostess,,12
FY14-15,Expense,Metropolitan Council,10101,Offc & Admin Supply,,4024
FY14-15,Expense,Metropolitan Council,10101,Computer Software,,106
FY14-15,Expense,Metropolitan Council,10101,Computer Hardware <$10K,,0
FY14-15,Expense,Metropolitan Council,10101,Printing Supply,,2626
FY14-15,Expense,Metropolitan Council,10101,Food & Ice,,307
FY14-15,Expense,Metropolitan Council,10101,Books/Magazines/Periodicals,,260
FY14-15,Expense,Metropolitan Council,10101,Procure Card Clearing,,0
FY14-15,Expense,Metropolitan Council,10101,Other License & Fees,,180
FY14-15,Expense,Metropolitan Council,10101,Professional Privilege Tax,,400
FY14-15,Expense,Metropolitan Council,10101,Fringe Benefits,,0
FY14-15,Expense,Metropolitan Clerk,10101,Regular Pay,,169614
FY14-15,Expense,Metropolitan Clerk,10101,Leave Pay,,16518
FY14-15,Expense,Metropolitan Clerk,10101,Overtime Pay,,7698
FY14-15,Expense,Metropolitan Clerk,10101,Longevity,,1815
FY14-15,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,1081
FY14-15,Expense,Metropolitan Clerk,10101,Employer OASDI,,11250
FY14-15,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,2631
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Health,,30976
FY14-15,Expense,Metropolitan Clerk,10101,Employer Dental Group,,972
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Life,,439
FY14-15,Expense,Metropolitan Clerk,10101,Employer Pension,,32591
FY14-15,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,225
FY14-15,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,856
FY14-15,Expense,Metropolitan Clerk,10101,Cable Television,,0
FY14-15,Expense,Metropolitan Clerk,10101,Management Consultant,,0
FY14-15,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,117
FY14-15,Expense,Metropolitan Clerk,10101,Recording,,0
FY14-15,Expense,Metropolitan Clerk,10101,Devlop/Framing/Artwork,,494
FY14-15,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,3027
FY14-15,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,167
FY14-15,Expense,Metropolitan Clerk,10101,Printing/Binding,,577
FY14-15,Expense,Metropolitan Clerk,10101,Advertising & Promot'n,,24357
FY14-15,Expense,Metropolitan Clerk,10101,Subscriptions,,234
FY14-15,Expense,Metropolitan Clerk,10101,Registration,,200
FY14-15,Expense,Metropolitan Clerk,10101,Membership Dues,,390
FY14-15,Expense,Metropolitan Clerk,10101,Other Rpr & Maint Srvc,,16752
FY14-15,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,243
FY14-15,Expense,Metropolitan Clerk,10101,Info Systems Charge,,35300
FY14-15,Expense,Metropolitan Clerk,10101,Postal Service Charge,,1526
FY14-15,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,3498
FY14-15,Expense,Metropolitan Clerk,10101,Surplus Property,,0
FY14-15,Expense,Metropolitan Clerk,10101,Facilities Maint & Security,,231300
FY14-15,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,4779
FY14-15,Expense,Metropolitan Clerk,10101,Computer Hardware <$10K,,26
FY14-15,Expense,Metropolitan Clerk,10101,Office Equipment < $10K,,0
FY14-15,Expense,Metropolitan Clerk,10101,Small Equipment Supply,,0
FY14-15,Expense,Metropolitan Clerk,10101,Procure Card Clearing,,0
FY14-15,Expense,Metropolitan Clerk,10101,Rent Equipment,,2526
FY14-15,Expense,Metropolitan Clerk,10101,Software License,,0
FY14-15,Expense,Metropolitan Clerk,10101,Notary,,0
FY14-15,Expense,Metropolitan Clerk,10101,Regular Pay,,75992
FY14-15,Expense,Metropolitan Clerk,10101,Leave Pay,,5040
FY14-15,Expense,Metropolitan Clerk,10101,Longevity,,578
FY14-15,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,517
FY14-15,Expense,Metropolitan Clerk,10101,Employer OASDI,,4438
FY14-15,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,1038
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Health,,26856
FY14-15,Expense,Metropolitan Clerk,10101,Employer Dental Group,,679
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Life,,304
FY14-15,Expense,Metropolitan Clerk,10101,Employer Pension,,13834
FY14-15,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,0
FY14-15,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,754
FY14-15,Expense,Metropolitan Clerk,10101,Refuse Disposal,,25732
FY14-15,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY14-15,Expense,Metropolitan Clerk,10101,Recording,,512
FY14-15,Expense,Metropolitan Clerk,10101,Registration,,0
FY14-15,Expense,Metropolitan Clerk,10101,Membership Dues,,170
FY14-15,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,969
FY14-15,Expense,Metropolitan Clerk,10101,Info Systems Charge,,11700
FY14-15,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,2561
FY14-15,Expense,Metropolitan Clerk,10101,Fleet Management,,1900
FY14-15,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,4560
FY14-15,Expense,Metropolitan Clerk,10101,Rent Equipment,,0
FY14-15,Expense,Metropolitan Clerk,10101,Software License,,4042
FY14-15,Expense,Metropolitan Clerk,10101,Pay Plan Improvement,,0
FY14-15,Expense,Metropolitan Clerk,10101,Fringe Benefits,,0
FY14-15,Expense,Metropolitan Clerk,10101,Regular Pay,,42686
FY14-15,Expense,Metropolitan Clerk,10101,Leave Pay,,2780
FY14-15,Expense,Metropolitan Clerk,10101,Overtime Pay,,9313
FY14-15,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,204
FY14-15,Expense,Metropolitan Clerk,10101,Employer OASDI,,3263
FY14-15,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,763
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Health,,6275
FY14-15,Expense,Metropolitan Clerk,10101,Employer Dental Group,,362
FY14-15,Expense,Metropolitan Clerk,10101,Employer Group Life,,163
FY14-15,Expense,Metropolitan Clerk,10101,Employer Pension,,7662
FY14-15,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,161
FY14-15,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY14-15,Expense,Metropolitan Clerk,10101,Temporary Service,,1579
FY14-15,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,150
FY14-15,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,23485
FY14-15,Expense,Metropolitan Clerk,10101,Printing/Binding,,15181
FY14-15,Expense,Metropolitan Clerk,10101,Subscriptions,,357
FY14-15,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY14-15,Expense,Metropolitan Clerk,10101,Postal Service Charge,,37387
FY14-15,Expense,Finance,10101,Overtime Pay,,623
FY14-15,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,862
FY14-15,Expense,Mayor's Office,10101,Regular Pay,,783567
FY14-15,Expense,Mayor's Office,10101,Leave Pay,,1456
FY14-15,Expense,Mayor's Office,10101,Holiday Pay,,0
FY14-15,Expense,Mayor's Office,10101,Longevity,,2063
