budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY16-17,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY16-17,Expense,Administrative,10101,Printing/Binding,,2040
FY16-17,Expense,Administrative,10101,Tuit'n Reg & Mmbrshp Dues,,0
FY16-17,Expense,Administrative,10101,Registration,,1095
FY16-17,Expense,Administrative,10101,Host & Hostess,,0
FY16-17,Expense,Administrative,10101,Offc & Admin Supply,,0
FY16-17,Expense,Administrative,10101,Supplies & Materials,,0
FY16-17,Expense,Administrative,10101,Transfer Operational,,127045
FY16-17,Expense,Administrative,10101,SPA,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Hospital Authority,,45000000
FY16-17,Expense,Administrative,10101,Transfer Operational,,444500
FY16-17,Expense,Administrative,10101,Management Consultant,,0
FY16-17,Expense,Administrative,10101,Facilities Maint & Security,,0
FY16-17,Expense,Administrative,10101,Facilities Maint & Security,,0
FY16-17,Expense,Administrative,10101,MDHA Property Tax Increments,,0
FY16-17,Expense,Administrative,10101,Cashier Shortages,,0
FY16-17,Expense,Administrative,10101,Discounts Available,,-2423
FY16-17,Expense,Administrative,10101,Discounts Lost,,2375
FY16-17,Expense,Administrative,10101,Transfer 4%,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,15000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,178200
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,375000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,12500
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,60000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,300000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,127000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,46400
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,300000
FY16-17,Expense,Administrative,10101,Electric,,0
FY16-17,Expense,Administrative,10101,Water,,0
FY16-17,Expense,Administrative,10101,Gas,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,81897
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Transfer Operational,,681969
FY16-17,Expense,Administrative,10101,Transfer HOT Short-term Rental,,318031
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,150000
FY16-17,Expense,Administrative,10101,Management Consultant,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,12100
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Transfer Community Ed,,358000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,51263
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,47300
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,113200
FY16-17,Expense,Administrative,10101,Medical Services,,11889754
FY16-17,Expense,Administrative,10101,Medical Services,,4581650
FY16-17,Expense,Administrative,10101,Rent Building & Land,,56776
FY16-17,Expense,Administrative,10101,Rent Equipment,,0
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,Pay Plan Improvement,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Personal Contract Service,,0
FY16-17,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY16-17,Expense,Administrative,10101,Printing/Binding,,0
FY16-17,Expense,Administrative,10101,Advertising & Promot'n,,0
FY16-17,Expense,Administrative,10101,Offc & Admin Supply,,0
FY16-17,Expense,Administrative,10101,Software License,,0
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,Pay Plan Improvement,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Personal Contract Service,,0
FY16-17,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY16-17,Expense,Administrative,10101,Allowance-Cell/Mobile Devices,,0
FY16-17,Expense,Administrative,10101,Printing/Binding,,0
FY16-17,Expense,Administrative,10101,Registration,,0
FY16-17,Expense,Administrative,10101,Offc & Admin Supply,,0
FY16-17,Expense,Administrative,10101,Rent Equipment,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,78500
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,45700
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,106199
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,62200
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,98900
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,50000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,40915
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,61900
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,33700
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,51600
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,52100
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,Leave Pay,,0
FY16-17,Expense,Administrative,10101,Pay Plan Improvement,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,FSA Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Personal Contract Service,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,73000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,68500
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,44468
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Project Administration,,0
FY16-17,Expense,Administrative,10101,Transport Non-employee,,0
FY16-17,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY16-17,Expense,Administrative,10101,Printing/Binding,,0
FY16-17,Expense,Administrative,10101,Host & Hostess,,0
FY16-17,Expense,Administrative,10101,Offc & Admin Supply,,0
FY16-17,Expense,Administrative,10101,Food & Ice,,0
FY16-17,Expense,Administrative,10101,Educational Supply,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,250000
FY16-17,Expense,Administrative,10101,Transfer State Fair Subsidy,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,29900
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,Longevity,,0
FY16-17,Expense,Administrative,10101,Pay Plan Improvement,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Other Professional Srvc,,0
FY16-17,Expense,Administrative,10101,Personal Contract Service,,0
FY16-17,Expense,Administrative,10101,Employee Travel,,0
FY16-17,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY16-17,Expense,Administrative,10101,Employee Air Travel,,0
FY16-17,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY16-17,Expense,Administrative,10101,Registration,,0
FY16-17,Expense,Administrative,10101,Membership Dues,,0
FY16-17,Expense,Administrative,10101,Host & Hostess,,0
FY16-17,Expense,Administrative,10101,Computer Hardware <$10K,,0
FY16-17,Expense,Administrative,10101,Food & Ice,,0
FY16-17,Expense,Administrative,10101,Books/Magazines/Periodicals,,0
FY16-17,Expense,Administrative,10101,Personal Contract Service,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,29750
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,25500
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,80100
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,77800
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,-1000
FY16-17,Expense,Administrative,10101,Excise Tax Self-Ins Health Pln,,60499
FY16-17,Expense,Administrative,10101,Regular Pay,,0
FY16-17,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Administrative,10101,Employer OASDI,,0
FY16-17,Expense,Administrative,10101,Employer SSN Medical,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Dental Group,,0
FY16-17,Expense,Administrative,10101,Employer Group Life,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Administrative,10101,Cable Television,,0
FY16-17,Expense,Administrative,10101,Management Consultant,,0
FY16-17,Expense,Administrative,10101,Pre-Employment Checks,,0
FY16-17,Expense,Administrative,10101,Interpretation Services,,0
FY16-17,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY16-17,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY16-17,Expense,Administrative,10101,Printing/Binding,,0
FY16-17,Expense,Administrative,10101,Advertising & Promot'n,,0
FY16-17,Expense,Administrative,10101,Membership Dues,,0
FY16-17,Expense,Administrative,10101,Telecmmnct'n Charge,,0
FY16-17,Expense,Administrative,10101,Host & Hostess,,0
FY16-17,Expense,Administrative,10101,Offc & Admin Supply,,0
FY16-17,Expense,Administrative,10101,Rent Equipment,,0
FY16-17,Expense,Administrative,10101,Software License,,0
FY16-17,Expense,Administrative,10101,Notary,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Transfer Local Match,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY16-17,Expense,Administrative,10101,SPA,,1025000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,75000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,32100
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,21108
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,27680
FY16-17,Expense,Administrative,10101,Transfer 4%,,28950920
FY16-17,Expense,Administrative,10101,Transfer HOT Short-term Rental,,0
FY16-17,Expense,Administrative,10101,MDHA Property Tax Increments,,7800229
FY16-17,Expense,Administrative,10101,Facilities Maint & Security,,0
FY16-17,Expense,Administrative,10101,Transfer Debt Service,,18533300
FY16-17,Expense,Administrative,10101,Transfer Operational,,250000
FY16-17,Expense,Metropolitan Council,10101,Regular Pay,,1111349
FY16-17,Expense,Metropolitan Council,10101,Longevity,,4538
FY16-17,Expense,Metropolitan Council,10101,YE Biweekly Sal/Fringe Accr,,12705
FY16-17,Expense,Metropolitan Council,10101,Employer OASDI,,61846
FY16-17,Expense,Metropolitan Council,10101,Employer SSN Medical,,14464
FY16-17,Expense,Metropolitan Council,10101,Employer Group Health,,342940
FY16-17,Expense,Metropolitan Council,10101,Employer Dental Group,,11142
FY16-17,Expense,Metropolitan Council,10101,Employer Group Life,,846
FY16-17,Expense,Metropolitan Council,10101,Employer Pension,,54089
FY16-17,Expense,Metropolitan Council,10101,FSA Pre-Tax Savings,,38
FY16-17,Expense,Metropolitan Council,10101,Cafe Plan Pre-Tax Savings,,8883
FY16-17,Expense,Metropolitan Council,10101,Cable Television,,259
FY16-17,Expense,Metropolitan Council,10101,Other Professional Srvc,,0
FY16-17,Expense,Metropolitan Council,10101,Engineering Srvc,,0
FY16-17,Expense,Metropolitan Council,10101,Devlop/Framing/Artwork,,479
FY16-17,Expense,Metropolitan Council,10101,Employee Out-of-town Travel,,1724
FY16-17,Expense,Metropolitan Council,10101,Employee Air Travel,,1662
FY16-17,Expense,Metropolitan Council,10101,Employee Local Travel/Park,,0
FY16-17,Expense,Metropolitan Council,10101,Allowance-Cell/Mobile Devices,,0
FY16-17,Expense,Metropolitan Council,10101,Cell Phone Service,,3817
FY16-17,Expense,Metropolitan Council,10101,Postage & Delivery Srvc,,980
FY16-17,Expense,Metropolitan Council,10101,Printing/Binding,,906
FY16-17,Expense,Metropolitan Council,10101,Subscriptions,,161
FY16-17,Expense,Metropolitan Council,10101,Tuition,,100
FY16-17,Expense,Metropolitan Council,10101,Registration,,7360
FY16-17,Expense,Metropolitan Council,10101,Membership Dues,,100
FY16-17,Expense,Metropolitan Council,10101,Employee Tuition Reimburse,,106
FY16-17,Expense,Metropolitan Council,10101,Other Rpr & Maint Srvc,,751
FY16-17,Expense,Metropolitan Council,10101,Info Systems Charge,,46100
FY16-17,Expense,Metropolitan Council,10101,Postal Service Charge,,0
FY16-17,Expense,Metropolitan Council,10101,Telecmmnct'n Charge,,7197
FY16-17,Expense,Metropolitan Council,10101,Surplus Property,,300
FY16-17,Expense,Metropolitan Council,10101,Facilities Maint & Security,,0
FY16-17,Expense,Metropolitan Council,10101,Host & Hostess,,0
FY16-17,Expense,Metropolitan Council,10101,Offc & Admin Supply,,4858
FY16-17,Expense,Metropolitan Council,10101,Computer Software,,409
FY16-17,Expense,Metropolitan Council,10101,Computer Hardware <$10K,,640
FY16-17,Expense,Metropolitan Council,10101,Printing Supply,,1267
FY16-17,Expense,Metropolitan Council,10101,Food & Ice,,941
FY16-17,Expense,Metropolitan Council,10101,Books/Magazines/Periodicals,,624
FY16-17,Expense,Metropolitan Council,10101,Procure Card Clearing,,0
FY16-17,Expense,Metropolitan Council,10101,Other License & Fees,,10
FY16-17,Expense,Metropolitan Council,10101,Professional Privilege Tax,,400
FY16-17,Expense,Metropolitan Council,10101,Fringe Benefits,,0
FY16-17,Expense,Metropolitan Clerk,10101,Regular Pay,,192451
FY16-17,Expense,Metropolitan Clerk,10101,Leave Pay,,22736
FY16-17,Expense,Metropolitan Clerk,10101,Overtime Pay,,6921
FY16-17,Expense,Metropolitan Clerk,10101,Longevity,,2152
FY16-17,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,2278
FY16-17,Expense,Metropolitan Clerk,10101,Employer OASDI,,12613
FY16-17,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,2950
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Health,,41807
FY16-17,Expense,Metropolitan Clerk,10101,Employer Dental Group,,1032
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Life,,525
FY16-17,Expense,Metropolitan Clerk,10101,Employer Pension,,30137
FY16-17,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,409
FY16-17,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,1183
FY16-17,Expense,Metropolitan Clerk,10101,Cable Television,,345
FY16-17,Expense,Metropolitan Clerk,10101,Management Consultant,,14567
FY16-17,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY16-17,Expense,Metropolitan Clerk,10101,Recording,,432
FY16-17,Expense,Metropolitan Clerk,10101,Devlop/Framing/Artwork,,470
FY16-17,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,4546
FY16-17,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,694
FY16-17,Expense,Metropolitan Clerk,10101,Printing/Binding,,1229
FY16-17,Expense,Metropolitan Clerk,10101,Advertising & Promot'n,,9140
FY16-17,Expense,Metropolitan Clerk,10101,Subscriptions,,246
FY16-17,Expense,Metropolitan Clerk,10101,Registration,,200
FY16-17,Expense,Metropolitan Clerk,10101,Membership Dues,,385
FY16-17,Expense,Metropolitan Clerk,10101,Other Rpr & Maint Srvc,,16880
FY16-17,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY16-17,Expense,Metropolitan Clerk,10101,Info Systems Charge,,40800
FY16-17,Expense,Metropolitan Clerk,10101,Postal Service Charge,,0
FY16-17,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,4723
FY16-17,Expense,Metropolitan Clerk,10101,Surplus Property,,100
FY16-17,Expense,Metropolitan Clerk,10101,Facilities Maint & Security,,0
FY16-17,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,1447
FY16-17,Expense,Metropolitan Clerk,10101,Computer Hardware <$10K,,927
FY16-17,Expense,Metropolitan Clerk,10101,Office Equipment < $10K,,1600
FY16-17,Expense,Metropolitan Clerk,10101,Small Equipment Supply,,1026
FY16-17,Expense,Metropolitan Clerk,10101,Procure Card Clearing,,31
FY16-17,Expense,Metropolitan Clerk,10101,Rent Equipment,,2481
FY16-17,Expense,Metropolitan Clerk,10101,Software License,,0
FY16-17,Expense,Metropolitan Clerk,10101,Notary,,0
FY16-17,Expense,Metropolitan Clerk,10101,Regular Pay,,75670
FY16-17,Expense,Metropolitan Clerk,10101,Leave Pay,,8206
FY16-17,Expense,Metropolitan Clerk,10101,Longevity,,688
FY16-17,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,972
FY16-17,Expense,Metropolitan Clerk,10101,Employer OASDI,,4914
FY16-17,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,1149
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Health,,13857
FY16-17,Expense,Metropolitan Clerk,10101,Employer Dental Group,,679
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Life,,341
FY16-17,Expense,Metropolitan Clerk,10101,Employer Pension,,12865
FY16-17,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,0
FY16-17,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,405
FY16-17,Expense,Metropolitan Clerk,10101,Refuse Disposal,,22179
FY16-17,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY16-17,Expense,Metropolitan Clerk,10101,Recording,,0
FY16-17,Expense,Metropolitan Clerk,10101,Registration,,0
FY16-17,Expense,Metropolitan Clerk,10101,Membership Dues,,0
FY16-17,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY16-17,Expense,Metropolitan Clerk,10101,Info Systems Charge,,4100
FY16-17,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,2587
FY16-17,Expense,Metropolitan Clerk,10101,Fleet Management,,1800
FY16-17,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,2960
FY16-17,Expense,Metropolitan Clerk,10101,Rent Equipment,,765
FY16-17,Expense,Metropolitan Clerk,10101,Software License,,4042
FY16-17,Expense,Metropolitan Clerk,10101,Pay Plan Improvement,,0
FY16-17,Expense,Metropolitan Clerk,10101,Fringe Benefits,,0
FY16-17,Expense,Metropolitan Clerk,10101,Regular Pay,,0
FY16-17,Expense,Metropolitan Clerk,10101,Leave Pay,,0
FY16-17,Expense,Metropolitan Clerk,10101,Overtime Pay,,0
FY16-17,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer OASDI,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Health,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer Dental Group,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer Group Life,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employer Pension,,0
FY16-17,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,0
FY16-17,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY16-17,Expense,Metropolitan Clerk,10101,Temporary Service,,0
FY16-17,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,0
FY16-17,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,0
FY16-17,Expense,Metropolitan Clerk,10101,Printing/Binding,,0
FY16-17,Expense,Metropolitan Clerk,10101,Subscriptions,,0
FY16-17,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY16-17,Expense,Metropolitan Clerk,10101,Postal Service Charge,,0
FY16-17,Expense,Finance,10101,Overtime Pay,,515
FY16-17,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,0
FY16-17,Expense,Mayor's Office,10101,Regular Pay,,1937421
FY16-17,Expense,Mayor's Office,10101,Leave Pay,,127969
FY16-17,Expense,Mayor's Office,10101,Holiday Pay,,74
FY16-17,Expense,Mayor's Office,10101,Longevity,,4242
FY16-17,Expense,Mayor's Office,10101,YE Biweekly Sal/Fringe Accr,,25556
FY16-17,Expense,Mayor's Office,10101,Employer OASDI,,118880
