budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer OASDI,,0
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,0
FY15-16,Expense,Administrative,10101,Employer Group Health,,0
FY15-16,Expense,Administrative,10101,Employer Dental Group,,0
FY15-16,Expense,Administrative,10101,Employer Group Life,,0
FY15-16,Expense,Administrative,10101,Employer Pension,,0
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,0
FY15-16,Expense,Administrative,10101,Personal Contract Service,,0
FY15-16,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,Administrative,10101,Printing/Binding,,0
FY15-16,Expense,Administrative,10101,Advertising & Promot'n,,0
FY15-16,Expense,Administrative,10101,Offc & Admin Supply,,0
FY15-16,Expense,Administrative,10101,Software License,,0
FY15-16,Expense,Administrative,10101,Regular Pay,,88407
FY15-16,Expense,Administrative,10101,Pay Plan Improvement,,0
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,456
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer OASDI,,5361
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,1254
FY15-16,Expense,Administrative,10101,Employer Group Health,,5652
FY15-16,Expense,Administrative,10101,Employer Dental Group,,339
FY15-16,Expense,Administrative,10101,Employer Group Life,,170
FY15-16,Expense,Administrative,10101,Employer Pension,,15902
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,147
FY15-16,Expense,Administrative,10101,Personal Contract Service,,0
FY15-16,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,Administrative,10101,Allowance-Cell/Mobile Devices,,0
FY15-16,Expense,Administrative,10101,Printing/Binding,,1688
FY15-16,Expense,Administrative,10101,Registration,,1000
FY15-16,Expense,Administrative,10101,Offc & Admin Supply,,0
FY15-16,Expense,Administrative,10101,Rent Equipment,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,47100
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,135000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,61500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,96100
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,67200
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,145600
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,50000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,36000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,44965
FY15-16,Expense,Administrative,10101,Regular Pay,,162497
FY15-16,Expense,Administrative,10101,Leave Pay,,865
FY15-16,Expense,Administrative,10101,Pay Plan Improvement,,0
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,427
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer OASDI,,9838
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,2301
FY15-16,Expense,Administrative,10101,Employer Group Health,,13500
FY15-16,Expense,Administrative,10101,Employer Dental Group,,339
FY15-16,Expense,Administrative,10101,Employer Group Life,,341
FY15-16,Expense,Administrative,10101,Employer Pension,,21596
FY15-16,Expense,Administrative,10101,FSA Pre-Tax Savings,,0
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,355
FY15-16,Expense,Administrative,10101,Personal Contract Service,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Regular Pay,,55577
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,331
FY15-16,Expense,Administrative,10101,Employer OASDI,,3344
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,782
FY15-16,Expense,Administrative,10101,Employer Group Health,,4946
FY15-16,Expense,Administrative,10101,Employer Dental Group,,297
FY15-16,Expense,Administrative,10101,Employer Group Life,,142
FY15-16,Expense,Administrative,10101,Employer Pension,,9997
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,126
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,1015142
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,50000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,105860
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,65800
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,44846
FY15-16,Expense,Administrative,10101,Regular Pay,,167000
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,1591
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer OASDI,,10653
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,2492
FY15-16,Expense,Administrative,10101,Employer Group Health,,0
FY15-16,Expense,Administrative,10101,Project Administration,,249886
FY15-16,Expense,Administrative,10101,Transport Non-employee,,37903
FY15-16,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Administrative,10101,Printing/Binding,,5479
FY15-16,Expense,Administrative,10101,Host & Hostess,,1451
FY15-16,Expense,Administrative,10101,Offc & Admin Supply,,6123
FY15-16,Expense,Administrative,10101,Food & Ice,,3289
FY15-16,Expense,Administrative,10101,Educational Supply,,20387
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,200000
FY15-16,Expense,Administrative,10101,Transfer State Fair Subsidy,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,36000
FY15-16,Expense,Administrative,10101,Regular Pay,,202917
FY15-16,Expense,Administrative,10101,Longevity,,110
FY15-16,Expense,Administrative,10101,Pay Plan Improvement,,0
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,991
FY15-16,Expense,Administrative,10101,Fringe Benefits,,0
FY15-16,Expense,Administrative,10101,Employer OASDI,,12581
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,2942
FY15-16,Expense,Administrative,10101,Employer Dental Group,,679
FY15-16,Expense,Administrative,10101,Employer Group Life,,341
FY15-16,Expense,Administrative,10101,Employer Pension,,36499
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,5
FY15-16,Expense,Administrative,10101,Other Professional Srvc,,0
FY15-16,Expense,Administrative,10101,Personal Contract Service,,2157
FY15-16,Expense,Administrative,10101,Employee Travel,,0
FY15-16,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,Administrative,10101,Employee Air Travel,,0
FY15-16,Expense,Administrative,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Administrative,10101,Registration,,350
FY15-16,Expense,Administrative,10101,Membership Dues,,150
FY15-16,Expense,Administrative,10101,Host & Hostess,,822
FY15-16,Expense,Administrative,10101,Computer Hardware <$10K,,1049
FY15-16,Expense,Administrative,10101,Food & Ice,,682
FY15-16,Expense,Administrative,10101,Books/Magazines/Periodicals,,168
FY15-16,Expense,Administrative,10101,Personal Contract Service,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,28004
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,36383
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,77700
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,112800
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,61934
FY15-16,Expense,Administrative,10101,Excise Tax Self-Ins Health Pln,,119961
FY15-16,Expense,Administrative,10101,Regular Pay,,241933
FY15-16,Expense,Administrative,10101,YE Biweekly Sal/Fringe Accr,,1626
FY15-16,Expense,Administrative,10101,Employer OASDI,,14377
FY15-16,Expense,Administrative,10101,Employer SSN Medical,,3362
FY15-16,Expense,Administrative,10101,Employer Group Health,,29234
FY15-16,Expense,Administrative,10101,Employer Dental Group,,1782
FY15-16,Expense,Administrative,10101,Employer Group Life,,966
FY15-16,Expense,Administrative,10101,Employer Pension,,14338
FY15-16,Expense,Administrative,10101,Cafe Plan Pre-Tax Savings,,768
FY15-16,Expense,Administrative,10101,Cable Television,,0
FY15-16,Expense,Administrative,10101,Management Consultant,,975
FY15-16,Expense,Administrative,10101,Pre-Employment Checks,,374
FY15-16,Expense,Administrative,10101,Interpretation Services,,284
FY15-16,Expense,Administrative,10101,Employee Out-of-town Travel,,3273
FY15-16,Expense,Administrative,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Administrative,10101,Printing/Binding,,861
FY15-16,Expense,Administrative,10101,Advertising & Promot'n,,-36
FY15-16,Expense,Administrative,10101,Membership Dues,,310
FY15-16,Expense,Administrative,10101,Telecmmnct'n Charge,,2750
FY15-16,Expense,Administrative,10101,Host & Hostess,,4
FY15-16,Expense,Administrative,10101,Offc & Admin Supply,,3837
FY15-16,Expense,Administrative,10101,Rent Equipment,,1465
FY15-16,Expense,Administrative,10101,Software License,,0
FY15-16,Expense,Administrative,10101,Notary,,163
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY15-16,Expense,Administrative,10101,Transfer Local Match,,9629
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,100000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,50000
FY15-16,Expense,Administrative,10101,Contribute/Grant,,30000
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,50500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,7500
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,9800
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,SPA,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY15-16,Expense,Administrative,10101,Transfer 4%,,28411923
FY15-16,Expense,Administrative,10101,Transfer HOT Short-term Rental,,0
FY15-16,Expense,Administrative,10101,MDHA Property Tax Increments,,7546761
FY15-16,Expense,Administrative,10101,Facilities Maint & Security,,0
FY15-16,Expense,Administrative,10101,Transfer Debt Service,,23372100
FY15-16,Expense,Administrative,10101,Transfer Operational,,0
FY15-16,Expense,Metropolitan Council,10101,Regular Pay,,1101205
FY15-16,Expense,Metropolitan Council,10101,Longevity,,6105
FY15-16,Expense,Metropolitan Council,10101,YE Biweekly Sal/Fringe Accr,,6598
FY15-16,Expense,Metropolitan Council,10101,Employer OASDI,,61319
FY15-16,Expense,Metropolitan Council,10101,Employer SSN Medical,,14341
FY15-16,Expense,Metropolitan Council,10101,Employer Group Health,,372084
FY15-16,Expense,Metropolitan Council,10101,Employer Dental Group,,11496
FY15-16,Expense,Metropolitan Council,10101,Employer Group Life,,933
FY15-16,Expense,Metropolitan Council,10101,Employer Pension,,78472
FY15-16,Expense,Metropolitan Council,10101,FSA Pre-Tax Savings,,0
FY15-16,Expense,Metropolitan Council,10101,Cafe Plan Pre-Tax Savings,,8999
FY15-16,Expense,Metropolitan Council,10101,Cable Television,,0
FY15-16,Expense,Metropolitan Council,10101,Other Professional Srvc,,0
FY15-16,Expense,Metropolitan Council,10101,Engineering Srvc,,0
FY15-16,Expense,Metropolitan Council,10101,Devlop/Framing/Artwork,,0
FY15-16,Expense,Metropolitan Council,10101,Employee Out-of-town Travel,,438
FY15-16,Expense,Metropolitan Council,10101,Employee Air Travel,,0
FY15-16,Expense,Metropolitan Council,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Metropolitan Council,10101,Allowance-Cell/Mobile Devices,,0
FY15-16,Expense,Metropolitan Council,10101,Cell Phone Service,,2706
FY15-16,Expense,Metropolitan Council,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Metropolitan Council,10101,Printing/Binding,,2189
FY15-16,Expense,Metropolitan Council,10101,Subscriptions,,156
FY15-16,Expense,Metropolitan Council,10101,Tuition,,50
FY15-16,Expense,Metropolitan Council,10101,Registration,,220
FY15-16,Expense,Metropolitan Council,10101,Membership Dues,,245
FY15-16,Expense,Metropolitan Council,10101,Employee Tuition Reimburse,,0
FY15-16,Expense,Metropolitan Council,10101,Other Rpr & Maint Srvc,,459
FY15-16,Expense,Metropolitan Council,10101,Info Systems Charge,,45900
FY15-16,Expense,Metropolitan Council,10101,Postal Service Charge,,0
FY15-16,Expense,Metropolitan Council,10101,Telecmmnct'n Charge,,5561
FY15-16,Expense,Metropolitan Council,10101,Surplus Property,,0
FY15-16,Expense,Metropolitan Council,10101,Facilities Maint & Security,,0
FY15-16,Expense,Metropolitan Council,10101,Host & Hostess,,0
FY15-16,Expense,Metropolitan Council,10101,Offc & Admin Supply,,4423
FY15-16,Expense,Metropolitan Council,10101,Computer Software,,0
FY15-16,Expense,Metropolitan Council,10101,Computer Hardware <$10K,,0
FY15-16,Expense,Metropolitan Council,10101,Printing Supply,,2404
FY15-16,Expense,Metropolitan Council,10101,Food & Ice,,230
FY15-16,Expense,Metropolitan Council,10101,Books/Magazines/Periodicals,,924
FY15-16,Expense,Metropolitan Council,10101,Procure Card Clearing,,410
FY15-16,Expense,Metropolitan Council,10101,Other License & Fees,,170
FY15-16,Expense,Metropolitan Council,10101,Professional Privilege Tax,,0
FY15-16,Expense,Metropolitan Council,10101,Fringe Benefits,,0
FY15-16,Expense,Metropolitan Clerk,10101,Regular Pay,,181810
FY15-16,Expense,Metropolitan Clerk,10101,Leave Pay,,17637
FY15-16,Expense,Metropolitan Clerk,10101,Overtime Pay,,4996
FY15-16,Expense,Metropolitan Clerk,10101,Longevity,,2420
FY15-16,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,1301
FY15-16,Expense,Metropolitan Clerk,10101,Employer OASDI,,11661
FY15-16,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,2727
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Health,,36984
FY15-16,Expense,Metropolitan Clerk,10101,Employer Dental Group,,1131
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Life,,568
FY15-16,Expense,Metropolitan Clerk,10101,Employer Pension,,36773
FY15-16,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,409
FY15-16,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,1028
FY15-16,Expense,Metropolitan Clerk,10101,Cable Television,,0
FY15-16,Expense,Metropolitan Clerk,10101,Management Consultant,,0
FY15-16,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY15-16,Expense,Metropolitan Clerk,10101,Recording,,0
FY15-16,Expense,Metropolitan Clerk,10101,Devlop/Framing/Artwork,,225
FY15-16,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,4147
FY15-16,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,585
FY15-16,Expense,Metropolitan Clerk,10101,Printing/Binding,,153
FY15-16,Expense,Metropolitan Clerk,10101,Advertising & Promot'n,,23762
FY15-16,Expense,Metropolitan Clerk,10101,Subscriptions,,235
FY15-16,Expense,Metropolitan Clerk,10101,Registration,,400
FY15-16,Expense,Metropolitan Clerk,10101,Membership Dues,,410
FY15-16,Expense,Metropolitan Clerk,10101,Other Rpr & Maint Srvc,,24526
FY15-16,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY15-16,Expense,Metropolitan Clerk,10101,Info Systems Charge,,36500
FY15-16,Expense,Metropolitan Clerk,10101,Postal Service Charge,,0
FY15-16,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,3316
FY15-16,Expense,Metropolitan Clerk,10101,Surplus Property,,0
FY15-16,Expense,Metropolitan Clerk,10101,Facilities Maint & Security,,0
FY15-16,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,2327
FY15-16,Expense,Metropolitan Clerk,10101,Computer Hardware <$10K,,0
FY15-16,Expense,Metropolitan Clerk,10101,Office Equipment < $10K,,0
FY15-16,Expense,Metropolitan Clerk,10101,Small Equipment Supply,,0
FY15-16,Expense,Metropolitan Clerk,10101,Procure Card Clearing,,0
FY15-16,Expense,Metropolitan Clerk,10101,Rent Equipment,,2891
FY15-16,Expense,Metropolitan Clerk,10101,Software License,,0
FY15-16,Expense,Metropolitan Clerk,10101,Notary,,0
FY15-16,Expense,Metropolitan Clerk,10101,Regular Pay,,80441
FY15-16,Expense,Metropolitan Clerk,10101,Leave Pay,,6681
FY15-16,Expense,Metropolitan Clerk,10101,Longevity,,633
FY15-16,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,445
FY15-16,Expense,Metropolitan Clerk,10101,Employer OASDI,,4918
FY15-16,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,1150
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Health,,22380
FY15-16,Expense,Metropolitan Clerk,10101,Employer Dental Group,,693
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Life,,341
FY15-16,Expense,Metropolitan Clerk,10101,Employer Pension,,13089
FY15-16,Expense,Metropolitan Clerk,10101,FSA Pre-Tax Savings,,0
FY15-16,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,641
FY15-16,Expense,Metropolitan Clerk,10101,Refuse Disposal,,20552
FY15-16,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,62
FY15-16,Expense,Metropolitan Clerk,10101,Recording,,437
FY15-16,Expense,Metropolitan Clerk,10101,Registration,,0
FY15-16,Expense,Metropolitan Clerk,10101,Membership Dues,,200
FY15-16,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY15-16,Expense,Metropolitan Clerk,10101,Info Systems Charge,,3400
FY15-16,Expense,Metropolitan Clerk,10101,Telecmmnct'n Charge,,2287
FY15-16,Expense,Metropolitan Clerk,10101,Fleet Management,,1700
FY15-16,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,4893
FY15-16,Expense,Metropolitan Clerk,10101,Rent Equipment,,764
FY15-16,Expense,Metropolitan Clerk,10101,Software License,,4042
FY15-16,Expense,Metropolitan Clerk,10101,Pay Plan Improvement,,0
FY15-16,Expense,Metropolitan Clerk,10101,Fringe Benefits,,0
FY15-16,Expense,Metropolitan Clerk,10101,Regular Pay,,2264
FY15-16,Expense,Metropolitan Clerk,10101,Leave Pay,,-849
FY15-16,Expense,Metropolitan Clerk,10101,Overtime Pay,,0
FY15-16,Expense,Metropolitan Clerk,10101,YE Biweekly Sal/Fringe Accr,,0
FY15-16,Expense,Metropolitan Clerk,10101,Employer OASDI,,83
FY15-16,Expense,Metropolitan Clerk,10101,Employer SSN Medical,,19
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Health,,236
FY15-16,Expense,Metropolitan Clerk,10101,Employer Dental Group,,14
FY15-16,Expense,Metropolitan Clerk,10101,Employer Group Life,,14
FY15-16,Expense,Metropolitan Clerk,10101,Employer Pension,,254
FY15-16,Expense,Metropolitan Clerk,10101,Cafe Plan Pre-Tax Savings,,6
FY15-16,Expense,Metropolitan Clerk,10101,Pre-Employment Checks,,0
FY15-16,Expense,Metropolitan Clerk,10101,Temporary Service,,0
FY15-16,Expense,Metropolitan Clerk,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Metropolitan Clerk,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Metropolitan Clerk,10101,Printing/Binding,,0
FY15-16,Expense,Metropolitan Clerk,10101,Subscriptions,,0
FY15-16,Expense,Metropolitan Clerk,10101,Office Equip Maintain Srvc,,0
FY15-16,Expense,Metropolitan Clerk,10101,Postal Service Charge,,0
FY15-16,Expense,Finance,10101,Overtime Pay,,1540
FY15-16,Expense,Metropolitan Clerk,10101,Offc & Admin Supply,,0
FY15-16,Expense,Mayor's Office,10101,Regular Pay,,814548
FY15-16,Expense,Mayor's Office,10101,Leave Pay,,0
FY15-16,Expense,Mayor's Office,10101,Holiday Pay,,154
FY15-16,Expense,Mayor's Office,10101,Longevity,,2008
